,zip_cd,single_dose_administered,all_doses_administered,fully_vaccinated,booster_dose_administered,eligible_population,clusters_pca,clusters_label
0,46001,334,13875,5237,2687,9433,2,Medium
1,46011,588,27172,9907,5661,16392,1,High
2,46012,634,28860,10495,5988,18671,1,High
3,46013,737,26996,10145,5417,15946,1,High
4,46016,707,18318,7251,3051,16904,1,High
5,46017,184,8687,3223,1762,5411,2,Medium
6,46030,111,4166,1579,831,2881,0,Low
7,46031,131,2950,1144,579,2460,0,Low
8,46032,2916,115988,40971,26167,48388,1,High
9,46033,2264,90089,31799,20615,36742,1,High
10,46034,358,11678,4353,2411,6230,2,Medium
11,46035,40,1362,533,252,1128,0,Low
12,46036,541,14506,5604,2746,11060,2,Medium
13,46037,2653,100276,36638,21897,39206,1,High
14,46038,2279,87488,32113,18895,40687,1,High
15,46039,22,715,273,133,494,0,Low
16,46040,810,29656,11187,6102,11423,1,High
17,46041,887,29402,11414,5300,20706,1,High
18,46044,87,3942,1496,773,2989,0,Low
19,46045,1,61,22,12,39,0,Low
20,46047,1,58,21,11,37,0,Low
21,46048,77,2383,933,424,1964,0,Low
22,46049,35,959,378,182,1057,0,Low
23,46050,79,2081,791,416,1968,0,Low
24,46051,111,3869,1484,762,2672,0,Low
25,46052,1043,33372,12811,6423,21312,1,High
26,46055,760,28362,10519,5892,11656,1,High
27,46056,101,3267,1244,664,2092,0,Low
28,46057,28,1123,423,223,1155,0,Low
29,46058,45,3318,1221,685,2353,0,Low
30,46060,1944,78001,29459,15440,38257,1,High
31,46062,1884,71950,26725,15155,32921,1,High
32,46063,7,372,138,81,521,0,Low
33,46064,688,29904,11198,6116,16288,1,High
34,46065,85,4499,1674,859,3225,0,Low
35,46068,108,3194,1227,621,2794,0,Low
36,46069,376,9639,3713,1939,6673,2,Medium
37,46070,76,2833,1069,575,2187,0,Low
38,46071,177,4143,1646,780,3001,0,Low
39,46072,337,12592,4729,2505,8052,2,Medium
40,46074,2218,90842,33177,19651,32189,1,High
41,46075,440,14637,5463,3075,5817,1,High
42,46076,47,1624,629,290,1373,0,Low
43,46077,2100,77553,27758,17503,27439,1,High
44,46103,5,335,128,60,155,0,Low
45,46104,22,1146,430,231,875,0,Low
46,46105,92,2180,842,433,1676,0,Low
47,46106,389,14208,5403,2821,6283,2,Medium
48,46107,593,18495,7025,3561,12301,2,Medium
49,46110,15,700,270,135,562,0,Low
50,46111,12,352,140,59,189,0,Low
51,46112,2392,75173,28404,15279,35534,1,High
52,46113,796,20932,8258,3752,14667,2,Medium
53,46115,85,2315,889,447,1846,0,Low
54,46117,21,843,313,175,772,0,Low
55,46118,195,6321,2435,1223,4833,0,Low
56,46120,432,6580,2663,1221,5083,0,Low
57,46121,229,6718,2611,1277,5131,0,Low
58,46122,733,25017,9568,4836,15305,2,Medium
59,46123,2120,75371,28358,15140,34504,1,High
60,46124,220,10144,3910,1796,8526,2,Medium
61,46125,2,86,32,17,55,0,Low
62,46126,209,6105,2355,1188,4609,0,Low
63,46127,12,463,170,98,287,0,Low
64,46128,106,2379,937,435,1798,0,Low
65,46130,106,3246,1244,652,2485,0,Low
66,46131,1120,47936,18099,9252,31210,1,High
67,46133,26,872,334,180,782,0,Low
68,46135,1119,24509,9451,4732,19584,1,High
69,46140,1633,65215,24348,13232,37973,1,High
70,46142,1576,54690,20261,11205,27783,1,High
71,46143,2740,102660,38787,20055,53551,1,High
72,46144,10,196,78,36,133,0,Low
73,46146,5,192,74,35,360,0,Low
74,46147,158,3496,1379,666,3045,0,Low
75,46148,144,6439,2417,1280,5214,0,Low
76,46149,88,2593,1013,494,1951,0,Low
77,46150,24,1088,414,216,1027,0,Low
78,46151,1565,40425,15525,7979,29577,1,High
79,46155,7,151,57,29,162,0,Low
80,46156,37,1489,549,304,1203,0,Low
81,46157,203,4820,1895,904,3650,0,Low
82,46158,1275,33612,12762,6827,21994,1,High
83,46160,206,7729,2911,1506,6021,2,Medium
84,46161,128,3340,1273,657,2457,0,Low
85,46162,29,800,300,167,314,0,Low
86,46163,681,23739,8817,5044,12271,1,High
87,46164,157,5668,2136,1130,3976,0,Low
88,46165,42,1908,722,372,1487,0,Low
89,46166,99,2064,834,367,2062,0,Low
90,46167,466,11335,4380,2260,6695,2,Medium
91,46168,1744,64892,24398,12646,33226,1,High
92,46171,74,2100,822,400,1703,0,Low
93,46172,125,2600,1024,505,2421,0,Low
94,46173,297,13599,5085,2675,9485,2,Medium
95,46175,12,550,208,106,566,0,Low
96,46176,1146,41143,15708,7793,25965,1,High
97,46180,34,1197,460,223,912,0,Low
98,46181,179,6868,2610,1344,4740,0,Low
99,46182,66,2640,973,541,1453,0,Low
100,46183,0,23,8,4,15,0,Low
101,46184,539,17606,6840,3291,13083,2,Medium
102,46186,48,2019,774,389,1580,0,Low
103,46201,1713,40766,15793,7416,28653,1,High
104,46202,1515,36881,13601,7730,19733,1,High
105,46203,1761,48521,18744,8913,35594,1,High
106,46204,1016,15784,6062,3151,8270,2,Medium
107,46205,1729,48166,17690,10304,25187,1,High
108,46208,1201,34502,12702,7132,21492,1,High
109,46214,1399,37677,14553,6809,22906,1,High
110,46216,150,4858,1709,1083,2263,2,Medium
111,46217,1573,57818,22010,11235,33893,1,High
112,46218,1221,36498,13940,6437,27070,1,High
113,46219,1822,56315,20950,11303,34348,1,High
114,46220,2366,77602,27412,17815,34302,1,High
115,46221,1455,32273,12997,5443,24832,1,High
116,46222,2096,46454,18671,7289,34319,1,High
117,46224,2421,53484,21428,8633,32887,1,High
118,46225,349,8340,3253,1501,5105,2,Medium
119,46226,1753,58981,22375,10575,41785,1,High
120,46227,2308,88047,33784,16181,50910,1,High
121,46228,793,30423,10930,6499,15193,1,High
122,46229,1188,40200,15347,7386,27001,1,High
123,46231,538,17055,6606,3171,9562,2,Medium
124,46234,1674,46559,17679,9259,25566,1,High
125,46235,1174,41868,16344,6895,30301,1,High
126,46236,1569,53516,19409,11438,26838,1,High
127,46237,1874,73995,27915,14473,36209,1,High
128,46239,1515,50097,19288,9620,27942,1,High
129,46240,1112,41538,14869,8979,19206,1,High
130,46241,1599,36994,14936,5897,29287,1,High
131,46250,967,35806,13041,7569,17537,1,High
132,46254,1847,58859,22689,10405,37033,1,High
133,46256,1313,46163,16390,10331,22477,1,High
134,46259,722,24561,9183,5138,10265,1,High
135,46260,1394,61583,22130,12744,31491,1,High
136,46268,1128,46632,17232,9315,23602,1,High
137,46278,672,20775,7221,4761,8364,1,High
